TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,792.1611722,794.5787546,805.0549451,783.2967033,752.6739927,1077.435897,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,782.4908425,788.9377289,803.8461538,781.6849817,716.4102564,738.1684982,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,789.7435897,791.7582418,803.4432234,781.2820513,740.1831502,630.1831502,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,803.040293,793.7728938,803.4432234,777.6556777,761.5384615,693.040293,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,809.0842491,795.7875458,801.8315018,784.9084249,730.5128205,655.5677656,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,797.8021978,792.1611722,802.6373626,788.5347985,763.1501832,660,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,789.3406593,786.5201465,803.8461538,784.9084249,840.9157509,848.5714286,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,787.7289377,788.5347985,804.2490842,780.8791209,834.0659341,859.4505495,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,795.3846154,795.7875458,809.4871795,785.3113553,838.9010989,745.4212454,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,810.6959707,799.4139194,811.9047619,791.3553114,855.4212454,769.1941392,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,798.2051282,796.996337,811.0989011,790.952381,811.9047619,747.8388278,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,780.4761905,792.5641026,808.2783883,781.2820513,791.7582418,949.3040293,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,785.3113553,791.7582418,805.8608059,778.0586081,843.7362637,1126.996337,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,796.996337,790.5494505,809.0842491,788.5347985,810.6959707,1006.923077,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,804.6520147,790.1465201,807.8754579,787.7289377,759.5238095,849.7802198,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,794.981685,793.7728938,809.0842491,788.5347985,791.7582418,748.2417582,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,778.0586081,792.967033,811.9047619,788.1318681,704.7252747,605.6043956,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,780.4761905,794.981685,808.6813187,778.4615385,738.1684982,603.5897436,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,791.3553114,794.5787546,806.6666667,784.1025641,809.0842491,689.8168498,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,805.4578755,796.1904762,804.2490842,794.1758242,774.4322344,685.7875458,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,805.4578755,799.8168498,802.2344322,797.3992674,827.2161172,755.8974359,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,788.5347985,796.996337,802.2344322,789.3406593,828.8278388,846.959707,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,786.1172161,794.981685,803.8461538,786.5201465,741.7948718,756.7032967,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,799.010989,797.8021978,801.4285714,791.7582418,767.5824176,855.8241758,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,817.5457875,805.8608059,797.3992674,793.7728938,847.7655678,1066.959707,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,803.040293,803.040293,798.6080586,799.8168498,846.959707,962.6007326,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,783.6996337,792.1611722,799.8168498,801.025641,834.0659341,757.5091575,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,785.3113553,792.5641026,800.2197802,795.3846154,802.6373626,685.3846154,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,791.3553114,802.6373626,800.6227106,801.025641,837.2893773,711.5750916,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,803.4432234,806.6666667,801.4285714,814.3223443,858.2417582,749.4505495,0.122498,0.02948,0.98291,1.809387,12.561035,2.033691,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,790.952381,801.025641,799.8168498,809.4871795,809.4871795,734.1391941,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,783.2967033,800.6227106,799.010989,799.8168498,783.2967033,724.0659341,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,784.9084249,796.996337,795.3846154,797.3992674,816.7399267,743.8095238,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,786.9230769,792.5641026,796.996337,797.3992674,803.4432234,716.4102564,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,803.4432234,796.1904762,801.4285714,801.8315018,817.1428571,742.6007326,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,805.4578755,801.4285714,804.6520147,807.4725275,867.9120879,929.96337,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,785.3113553,802.6373626,806.6666667,811.5018315,836.8864469,1007.728938,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
07:03.4,1.37498007,0.269019566,0.260942089,1.008027716,1.13665622,-0.046442331,0.073847602,0.489601637,1.209397484,0.187533188,0.171921708,0.744198847,0.756109147,0.353835762,0.218477161,0.457394926,0.412026843,-0.176962024,-0.062493226,0.14007316,778.8644689,801.025641,805.0549451,807.4725275,743.8095238,966.6300366,0.108826,0.020386,0.978027,1.465454,12.598419,1.540222,1,1,1,1,1,65,
